source,label,frame,length
3D,正解データ,92,0.42636029334187747
3D,正解データ,93,0.4263386672937864
3D,正解データ,94,0.4263212242885719
3D,正解データ,95,0.4263079275060297
3D,正解データ,96,0.42629647127417836
3D,正解データ,97,0.4262859178087555
3D,正解データ,98,0.4262748122078613
3D,正解データ,99,0.4262601904094348
3D,正解データ,100,0.4262419952466722
3D,正解データ,101,0.42622266425531563
